L1#  1 | それでは | त्यसोभए
L9# 74 | 燃える | जल्नु
L9# 75 | ご自由に | खुला मनले
L9# 76 | 挨拶・する | अभिवादन गर्नु
L9# 77 | 申し訳ないんですが | कृपया माफ गर्नुहोला कि
L9# 78 | おしゃべり・する | कुराकानी गर्नु
L9# 79 | チェック・する | चेक गर्नु
L9# 80 | 気をつける | ध्यान राख्नु
L9# 81 | 邪魔（な） | बाधा
L9# 82 | 最初に | सुरुमा
L9# 83 | 丁寧（な） | बुझ्ने गरी
L9# 84 | 先に | पहिले
L9# 85 | しっかり | राम्रोसँग
L9# 86 | 絶対に | अवश्य पनि
L9# 87 | はっきり | स्पस्‍ट
L9# 88 | 大きな | ठूलो
L9# 89 | お手洗い | टोइलेट
L9# 90 | ガス | ग्‍यास
L9# 91 | ガソリン | पेट्‍रोल
L9# 92 | そのまま | जस्तो छ त्यस्तै
L9# 93 | バター | बटर
L9# 94 | 引き出し | ड्‍रयर
L9# 95 | ひも | डोरी
L9# 96 | 袋 | झोला
L9# 97 | 瓶 | बोटल
L10#  1 | 係 | इन्चार्‍ज
L10#  2 | あめ | क्‍यान्डी
L10#  3 | シカ | जरायो
L10#  4 | 王様 | महाराज
L10#  5 | シングル | सिङ्गल
L10#  6 | クルミ | ओखर
L10#  7 | ツイン | डबल
L10#  8 | ゴマ | तील
L10#  9 | 展望台 | अवलोकन बाल्कुनी
L10# 10 | 泥棒 | चोर
L10# 11 | 誰でも | जो कोही पनि
L10# 12 | バッテリー | ब्याट्‍्री
L10# 13 | フロント | फ्रन्ट
L10# 14 | ポーチ | छाला भएको
L10# 15 | ライブ | लाइभ
L10# 16 | 伸ばす | लम्काउनु
L10# 17 | ロック | रक म्युजिक
L10# 18 | 巻く | बाँध्नु
L10# 19 | かむ | टोक्‍छु
L10# 20 | 丸い | गोलो
L10# 21 | 配る | बाँड्नु
L10# 22 | 刺す | घोच्‍छु
L10# 23 | 誘う | निम्त्याउनु
L10# 24 | 頼む | अनुरोध गर्नु
L10# 25 | 踏む | कुल्चनु
L10# 26 | ぶつかる | ठोक्किनु
L10# 27 | 蚊 | लामखुट्‍टे
L10# 28 | けんか・する | झगडा गर्नु
L10# 29 | おじいさん | हजुरबुबा
L10# 30 | 近所のおじいさん | छिमेकको हजुरबुबा
L10# 31 | おばあさん | हजुरआमा
L10# 32 | 近所のおばあさん | छिमेककी हजुरआमा
L10# 33 | おにぎり | ओनिगिरी
L10# 34 | 撮影・する | छायांकन गर्नु
L10# 35 | 充電・する | चार्‍ज गर्नु
L10# 36 | 招待・する | निमन्त्रणा गर्नु
L10# 37 | タッチ・する | छुनु
L10# 38 | 注意・する | सचेत गराउनु
L10# 39 | 係の人に注意される | सम्बन्धित कर्‍्मचारीद्वारा सचेत गराइनु
L10# 40 | 通訳・する | उल्‍था / व्याख्या गर्नु
L10# 41 | 発売・する | बिक्री गर्नु
L10# 42 | うまい | मीठो
L10# 43 | いっぱい | थुप्रै
L10# 44 | あれ？ | ओ हो, के हो?(आश्चर्‍य मान्दा प्रयोग हुने)
L10# 45 | アイスクリーム | आइसक्रिम
L10# 46 | 博物館 | संग्रहालय
L10# 47 | プロ | पेशेवर
L10# 48 | ミルク | दुध
L10# 49 | 麦 | गहुँ/जौ
L10# 50 | 向こう | उतापट्टि
L10# 51 | 屋根 | छाना
L10# 52 | ヨーロッパ | युरोप
L10# 53 | ～時代（例：江戸時代） | ～युग/काल (जस्तो: एदो काल)
L10# 54 | ～中（例：世界中） | ～भरि (जस्तो: विश्व भरि)
L10# 55 | ～箱（例：弁当箱） | ～बाकस (जस्तै: खाजाबाकस)
L10# 56 | 行う | गर्नु
L10# 57 | 造る | बनाउनु
L10# 58 | 開く | खोल्नु/आयोजना गर्नु
L10# 59 | コンサートが開かれる | कन्सर्‍टको आयोजना हुनु
L10# 60 | 向かう | तिर लाग्‍छु
L10# 61 | 生きる | जिउनु
L10# 62 | 生まれる | जन्मनु
L10# 63 | 建てる | निर्माण गर्नु
L10# 64 | 逃げる | भाग्‍छु
L10# 65 | 設計・する | योजना बनाउनु
L10# 66 | 発見・する | पत्ता लगाउनु
L10# 67 | 発明・する | आविश्कार गर्नु
L10# 68 | ～によって | ～द्वारा
L10# 69 | 赤ちゃん | शिशु, बच्चा
L10# 70 | あっち | त्यतातिर
L10# 71 | 鉛筆 | पेन्सिल
L10# 72 | 多く | धेरैजसो
L10# 73 | お化け屋敷 | भूतको घर
L10# 74 | おやき | ओयाकि मिठाइ
L10# 75 | 会場 | समारोह स्थल
L10# 76 | カタカナ | काताकाना अक्षर
L10# 77 | 工場 | कारखाना
L10# 78 | 国際 | अन्तर्राष्ट्रिय
L10# 79 | 子ども | बच्चा
L10# 80 | 近所の子ども | छिमेकका बच्चा
L10# 81 | 柔道 | जुडो
L10# 82 | 世界 | विश्व
L10# 83 | 月 | चन्द्रमा
L10# 84 | 月を見る | चन्द्रमा हेर्नु
L10# 85 | 電池 | ब्याट्‍्री
L10# 86 | トラ | बाघ
L10# 87 | 遠く | टाढा
L10# 88 | 乗り場 | चढ्ने ठाउँ
L10# 89 | ロープウエー | केबुलकार
L10# 90 | ちょうど | ठिक्क
L10# 91 | お待たせ | पर्खनु परेकोमा माफ दिनोस्
L11#  1 | 違い | फरक
L11#  2 | おじさん | काका/मामा
L11#  3 | 物価 | सामानको मूल्य
L11#  4 | 苦労 | दु:ख
L11#  5 | 文化 | संस्कृति
L11#  6 | 八百屋 | तरकारी पसल, सब्जिदार
L11#  7 | ボランティア | भोलन्टियर
L11#  8 | 無理 | जबरजस्ति/असम्भव
L11#  9 | 話しかける | कुरा गर्न लाग्‍छु
L11# 10 | 親しい | निकट सम्बन्धको
L11# 11 | 何度も | धेरै पटक
L11# 12 | ～代（例：食事代） | ～खर्‍च (जस्तो: खाना खर्‍च)
L11# 13 | 持つ | साथमा राख्‍छु/लिनु
L11# 14 | 興味を持つ | चाख राख्‍छु
L11# 15 | 学ぶ | सिक्‍छु
L11# 16 | 彼女 | त्यो आइमाइ /गर्‍लफ्रेण्ड
L11# 17 | 彼 | त्यो मान्‍छे /बोइफ्रेण्ड
L11# 18 | 折れる | भाँचिनु
L11# 19 | 答える | उत्तर दिनु
L11# 20 | 育てる | हुर्काउनु
L11# 21 | 国の彼女／彼に会いたい | देशको गर्‍लफ्रेण्ड /बोइफ्रेण्डलाई भेट्न चाहन्‍छु
L11# 22 | 記者 | रिपोर्‍टर
L11# 23 | 興味 | चाख/चासो
L11# 24 | インタビュー・する | अन्तरवार्ता गर्नु
L11# 25 | 外食・する | बाहिर खाना खानु
L11# 26 | 敬語 | आदरका कुराहरू/आदरार्थी शब्द
L11# 27 | 研究・する | अनुसन्‍धान गर्नु
L11# 28 | 故障・する | बिग्रनु
L11# 29 | 将来のこと | भविष्यको कुरा
L11# 30 | 節約・する | बचत गर्नु
L11# 31 | 地域 | क्षेत्र
L11# 32 | あんまり | त्यति धेरै त....
L11# 33 | だいたい | लगभग
L11# 34 | 運転手 | ड्‍राइभर
L11# 35 | 駅前 | स्‍टेशन अगाडि
L11# 36 | 具合 | अवस्था(शारीरिक)
L11# 37 | 今夜 | आज राती
L11# 38 | 打つ | हान्नु
L11# 39 | 回る | घुम्‍छु
L11# 40 | 諦める | मन मार्‍नु
L11# 41 | 投げる | हुत्याउनु
L11# 42 | 出張・する | काजमा जानु
L11# 43 | 機会 | अवसर
L11# 44 | ～君 | …ज्‍यु
L11# 45 | シュート・する | सुट हान्नु
L11# 46 | お帰りなさい | फर्केर आएकोमा स्वागत
L11# 47 | よし | ल त
L12#  1 | 傘をさす | छाता ओढ्नु
L12#  2 | インスタント | पूर्‍व तयारिको(रेडिमेड)
L12#  3 | 酔う | रक्‍सी लाग्‍छु
L12#  4 | 食品 | खाद्य पदार्‍थ
L12#  5 | 取れる | लिन/निकाल्न सकिनु
L12#  6 | 残す | बाँकी राख्‍छु
L12#  7 | アドバイス・する | सल्लाह दिनु
L12#  8 | 残る | बाँकी हुनु
L12#  9 | 入会・する | सदस्य हुनु
L12# 10 | 冷凍・する | फ्रिज गराउनु
L12# 11 | ガンガン | झम झम(टाउको दुख्‍दा अनुभव हुने एक किसिमको दुखाइ)
L12# 12 | 胃 | पेट
L12# 13 | 痛み | दुख्‍छु
L12# 14 | うがい | घाँटी कुला गर्ने
L12# 15 | 元気 | सनै
L12# 16 | 氷 | आइस/बरफ
L12# 17 | 湿布 | पानीपट्‍टी, कम्पेस
L12# 18 | ジム | जिम
L12# 19 | 疲れ | थकाइ
L12# 20 | ドレッシング | ड्‍्रेसिङ
L12# 21 | 様子 | अवस्‍था
L12# 22 | ～金（例：入会金） | ～रकम (जस्तो: सदस्य हुनमा लाग्‍ने रकम)
L12# 23 | さす | घोच्‍छु
L12# 24 | パンパン | टनक्क (सुन्निनु)
L12# 25 | フラフラ | लरखर
L12# 26 | ムカムカ | वाकवाकी
L12# 27 | 栄養 | पौष्टिकता
L12# 28 | 肩 | काँध
L12# 29 | 首 | घाँटी
L12# 30 | カロリー | क्‍यालोरि
L12# 31 | 健康 | स्वास्थ्य
L12# 32 | この頃 | आज भोलि
L12# 33 | ジューサー | जुस बनाउने मेशिन
L12# 34 | ショウガ | अदुवा
L12# 35 | ストレス | स्‍ट्रेस
L12# 36 | 体脂肪 | शरीरको बोसो
L12# 37 | ネックストレッチャー | घाँटी तनाउने
L12# 38 | バランス | ब्‍यालेन्स/संतुलन
L12# 39 | ビタミンC | भिटामीन C
L12# 40 | ヘルスケア | स्वास्थ्य हेरचाह
L12# 41 | マッサージ器 | मशाज मेशिन
L12# 42 | ～計（例：温度計） | ～मिटर (जस्‍टै: थर्मोमिटर)
L12# 43 | ～不足（例：運動不足） | ～को कमी (जस्तो: खेलकुदको कमी)
L12# 44 | ～率（例：出席率） | ～दर (जस्‍टै: उपस्थिति दर)
L12# 45 | 動かす | चलाउनु
L12# 46 | こる | साह्रो हुनु
L12# 47 | たまる | थुप्रिनु
L12# 48 | 取る | लिनु/मेट्नु
L12# 49 | 疲れを取る | थकाइ मेट्नु
L12# 50 | 眠る | निदाउनु
L12# 51 | 測る | नाप्‍छु
L12# 52 | 太る | मोटाउनु
L12# 53 | 痩せる | दुब्‍लाउनु
L12# 54 | 冷える | चिसो हुनु
L12# 55 | 計算・する | गणना/हिसाब गर्नु
L12# 56 | ダイエット・する | डायट गर्नु
L12# 57 | マッサージ・する | मशाज गर्नु
L12# 58 | キャラクター | क्यारेक्टर
L12# 59 | グレープフルーツ | ग्‍रेपफ्रुट
L12# 60 | 二日酔い | भोलिपल्टसम्म रक्सि लागिरहेको अवस्‍था
L12# 61 | 管理・する | नियन्त्रण गर्नु
L12# 62 | 成長・する | हुर्‍कनु
L12# 63 | 気にする | ध्याल गर्नु
L12# 64 | 気をつける | ध्यान दिनु
L12# 65 | ほとんど | प्रायजसो
L12# 66 | ～とも | ～साथै
L13#  1 | 偉い | एकदम/असल
L13#  2 | 自然 | प्रकृति
L13#  3 | 釣る | माछा मार्‍नु
L13#  4 | 自由（な） | स्वतन्त्रता
L13#  5 | 必ず | अवश्य पनि
L13#  6 | 手に入れる | हात पार्‍नु
L13#  7 | やっぱり | नभन्दै
L13#  8 | 不利（な） | बेफाइदाजनक
L13#  9 | 遅くまで | ढिलो सम्म
L13# 10 | 男の子 | केटा बच्चा
L13# 11 | 親 | बुबाआमा
L13# 12 | 父親 | बुबा
L13# 13 | 母親 | आमा
L13# 14 | 家事 | घरेलु कामकाज
L13# 15 | ゲームセンター | गेम सेन्टर
L13# 16 | コーチ | कोच
L13# 17 | 習い事 | पैसा तिरेर सिक्‍ने कुरा
L13# 18 | 頃 | बेला
L13# 19 | 塾 | ट्युशन स्‍कुल
L13# 20 | 数学 | गणित शास्त्र
L13# 21 | ～キロ | ～किलो
L13# 22 | ～ずつ（例：20個ずつ） | ～प्रत्येक (जस्‍टै: २० वटामा प्रत्येक)
L13# 23 | 騒ぐ | होहल्‍ला गर्नु
L13# 24 | 世話・する | सत्कार/सेवा गर्नु
L13# 25 | 海外 | विदेश
L13# 26 | 教育 | शिक्षा
L13# 27 | 曲 | गाना
L13# 28 | 化粧品 | मेकअपको सामान
L13# 29 | 手伝い | मद्दत
L13# 30 | ～会（例：発表会） | ～सभा (जस्‍टै: प्रस्तुतिका सभा)
L13# 31 | 叱る | गाली गर्नु
L13# 32 | 泣く | रुनु
L13# 33 | 残す | बाँकी छोड्नु
L13# 34 | やる | गर्नु
L13# 35 | 宿題をやる | गृहकार्‍य गर्नु
L13# 36 | 褒める | प्रशंसा गर्नु
L13# 37 | やめる | छोड्नु
L13# 38 | 発表・する | प्रस्‍तुत गर्नु
L13# 39 | 厳しい | कडा स्वभावको
L13# 40 | 嫌（な） | मन नपर्ने
L13# 41 | 熱心（な） | जोशका साथ
L13# 42 | 何でも | जे पनि
L13# 43 | おもちゃ | खेलौना
L13# 44 | 祖母 | हजुरआमा
L13# 45 | 僕 | म
L13# 46 | 役に立つ | काम लाग्‍ने
L13# 47 | ちゃんと | राम्रोसँग
L13# 48 | 仕方がない | कुनै उपाय छैन
L14#  1 | おもちゃ | खेलौना
L14#  2 | 作品 | रचना
L14#  3 | 女の子 | केटी
L14#  4 | 数 | सङ्‍ख्या
L14#  5 | 奨学金 | छात्रवृत्ति
L14#  6 | （お）金持ち | धनि
L14#  7 | 漫画家 | कार्‍टटुनिस्ट
L14#  8 | カボチャ | फर्‍सि
L14#  9 | ～部 | ～क्लब/टिम
L14# 10 | 空手 | कराते
L14# 11 | 活動・する | गतिविधि गर्नु
L14# 12 | ギョーザ | ग्‍योजा(चिनियाँ म:म:)
L14# 13 | 支援・する | सहयोग गर्नु
L14# 14 | 行事 | उत्सवहरू
L14# 15 | ヒット・する | हिट हुनु/एकदम चल्नु
L14# 16 | 大みそか | वर्‍षको अन्तिम दिन
L14# 17 | 放送・する | प्रसारण गर्नु
L14# 18 | お盆 | ओबोन पर्‍व
L14# 19 | 連載・する | नियमित रूपमा प्रकाशन गर्नु
L14# 20 | 素晴らしい | अति उत्तम
L14# 21 | 敬老の日 | पौढ दिवस
L14# 22 | メジャー（な） | मेजर
L14# 23 | 七五三 | सिचिगोसान (सात, पाँच र तिन वर्‍षका बालकको उत्सव)
L14# 24 | 遊び | खेल/रमझम
L14# 25 | ウナギ | उनागि माछा
L14# 26 | 大勢 | थुप्रै मानिसहरू
L14# 27 | おせち料理 | ओसेची परिकार(जापानी नयाँ वर्‍षमा खाने विशेष परिकार)
L14# 28 | （お）正月 | नयाँ वर्‍ष
L14# 29 | 招き猫 | मानेकि नेको(पसलमा राखिने एक किसिमको बिरालोको मूर्ति)
L14# 30 | 成人の日 | वालिग दिवस
L14# 31 | 豆 | गेडागुडी
L14# 32 | 節分 | सेचुबुन पर्‍व
L14# 33 | ミカン | सुन्तला
L14# 34 | 焼き鳥 | कुखुराको मासुको सेकुवा
L14# 35 | ユズ | चिनियाँ कागती
L14# 36 | 夢 | सपना
L14# 37 | 昨日、悪い夢を見た | हिजो मैले नराम्रो सपना देखेँ।
L14# 38 | 冬至 | मकर सङ्‍्क्रान्‍ति
L14# 39 | ランドセル | स्‍कुल ब्‍याग
L14# 40 | 土用の丑の日 | दोयोनो उसिनो हि
L14# 41 | ～県（例：長崎県） | अञ्चल (जस्तो: नागासाकि अञ्चल)
L14# 42 | 祈る | प्रार्थना गर्नु
L14# 43 | ひなまつり | हिनामाचुरि पर्‍व
L14# 44 | 祝う | मनाउनु
L14# 45 | ごちそう | मीठा मीठा परिकार
L14# 46 | 新年 | नयाँ साल
L14# 47 | 踊る | नाच्‍छु
L14# 48 | 将棋 | स्‍योगि खेल
L14# 49 | 飾る | सजाउनु
L14# 50 | スイカ | खरभुजा
L14# 51 | 包む | ढाक्‍छु/छोप्‍छु
L14# 52 | （お）赤飯 | (ओ)सेकिहान/रातो भात (शुभ अवसरमा खाइने)
L14# 53 | お祝い・する | उपलक्ष्य मा समारोह गर्नु
L14# 54 | 先祖 | पूर्खाहरू
L14# 55 | 感謝・する | आभारी हुनु
L14# 56 | 山車 | रथ
L14# 57 | チェス | चेस
L14# 58 | 成長・する | हुर्‍कनु
L14# 59 | テコンドー | ताइक्ववांडो
L14# 60 | 長生き・する | चिरन्जिवी हुनु
L14# 61 | 年 | साल
L14# 62 | 夏バテ・する | धेरै गर्मीको कारणले लखतरान हुनु
L14# 63 | 新しい年 | नयाँ वर्‍ष
L14# 64 | 特別（な） | विशेष
L14# 65 | パクさんの年 | पार्‍कजीको उमेर
L14# 66 | 布 | कपडा
L14# 67 | イヤホン | एअरफोन
L14# 68 | 年賀状 | नयाँ वर्‍षको कार्‍ड
L14# 69 | 置物 | सजाएर राख्‍ने सामान
L14# 70 | 火事 | आगलागी
L14# 71 | カメ | कछुवा
L14# 72 | はがき | पोस्ट कार्‍ड
L14# 73 | 風呂敷 | फुरोसिकि रुमाल
L14# 74 | 菊 | गोदावरी फूल
L14# 75 | くし | काइँयो
L14# 76 | ５円玉 | ५ येनको डबल
L14# 77 | 食器 | थाल कचौरा
L14# 78 | シンボル | सिम्बल/प्रतीक
L14# 79 | ストーブ | हीटर
L14# 80 | （お）葬式 | किरिया कर्‍म
L14# 81 | 涙 | आँशु
L14# 82 | ハンカチ | रुमाल
L14# 83 | 日傘 | घाममा ओढ्ने छाता
L14# 84 | （お）見舞い | बिरामीलाई भेट्न जाने
L14# 85 | みんな | सबैजना
L14# 86 | ライター | लाइटर
L14# 87 | ～祝い（例：結婚祝い） | ～मनाउने (जस्तो: विवाहको उपहार)
L14# 88 | 贈る | पठाउनु/उपहार दिनु
L14# 89 | 増える | वृद्धि हुनु
L14# 90 | 発音・する | उच्चारण गर्नु
L14# 91 | 連想・する | झझल्को हुनु
L14# 92 | 恥ずかしい | लाजलाग्‍छो
L14# 93 | 鬼 | राक्षस
L14# 94 | 提灯 | लालटिन
L14# 95 | ハロウィン | हलोविन
L14# 96 | そういう | त्यस्‍तो भनिने
L15#  1 | テーマ | मुख्‍य बुँदा / कुरा
L15#  2 | 自信 | आत्मविश्वास
L15#  3 | 知り合い | चिनेको मान्‍छे
L15#  4 | 貿易 | ट्‍्रेड
L15#  5 | 大成功 | एकदम सफल
L15#  6 | 問題 | समस्‍या
L15#  7 | 取り組む | राम्ररी बुझ्नु, अँगाल्नु, ग्रहण गर्नु
L15#  8 | 積極的（な） | सक्रियताका साथ
L15#  9 | ～化（例：温暖化） | ～करण (जस्तो: ऊष्‍मीकरण)
L15# 10 | 大雨 | ठूलो वर्षा
L15# 11 | 英会話 | अंग्‍रेजीमा कुराकानी
L15# 12 | 回数 | पटक
L15# 13 | グラフ | ग्‍राफ
L15# 14 | グループ | समूह
L15# 15 | 原因 | कारण
L15# 16 | 事件 | घटना
L15# 17 | 事情 | परिस्थिति/समस्‍या
L15# 18 | 食料品 | खाद्य पदार्‍थ
L15# 19 | アンケート・する | लिखित अन्तरवार्ता गर्नु
L15# 20 | 女性 | महिला/आइमाई
L15# 21 | 男性 | पुरुष/लोग्‍नेमान्‍छे
L15# 22 | 地球 | पृथ्‍वी
L15# 23 | 増加・する | वृद्धि हुनु
L15# 24 | 輸入・する | आयात गर्नु
L15# 25 | 来日・する | जापानमा आउनु
L15# 26 | 流行・する | चलनमा आउनु
L15# 27 | 気になる | मनमा लाग्‍छु
L15# 28 | 洋服 | लुगा
L15# 29 | レコード | रेकर्‍ड
L15# 30 | ～倍 | ～गुणा
L15# 31 | 飼う | पाल्नु(जनावर आदि)
L15# 32 | 下がる | घट्नु
L15# 33 | 値段が下がる | मूल्य घट्नु
L15# 34 | 咲く | फुल्नु
L15# 35 | 過ごす | बिताउनु
L15# 36 | 植える | रोप्‍छु
L15# 37 | 比べる | तुलना गर्नु
L15# 38 | お願い・する | विन्‍ती गर्नु
L15# 39 | 僕 | म
L15# 40 | 前 | अघि
L15# 41 | 気楽（な） | निश्चिन्त
L15# 42 | 不安（な） | अशान्त खालको
L15# 43 | 約～ | लगभग/करिब
L15# 44 | 汚い | फोहोर
L15# 45 | 温暖（な） | न्‍यानो
L15# 46 | 直接 | प्रत्यक्ष
L15# 47 | ほとんど | प्रायजसो
L15# 48 | インフルエンザ | इन्फ्‍लुयन्जा
L15# 49 | 円高 | येनको मूल्यमा वृद्धि
L15# 50 | 円安 | येनको मूल्यमा कमी
L15# 51 | 気温 | तापक्रम
L15# 52 | 立入禁止 | प्रवेश निषेध
L15# 53 | 南極 | दक्षिणी ध्‍रुव
L15# 54 | 北極 | उत्तरी ध्‍रुव
L15# 55 | ポスター | पोस्टर
L15# 56 | 進む | अघि बढ्नु
L15# 57 | 研究が進む | अनुसन्‍धान अगाडि बढ्नु
L15# 58 | 減る | ह्‍रास हुनु
L15# 59 | 溶ける | पग्लनु
L15# 60 | 欠席・する | अनुपस्थित हुनु
L15# 61 | 輸出・する | निर्‍यात गर्नु
L15# 62 | 危険（な） | खतरनाक
L15# 63 | 大変 | एकदमै
L15# 64 | どんどん | झनझन
L15# 65 | しかし | तर
L15# 66 | ～によると | ~का अनुसार
L15# 67 | 行き先 | गन्तव्य
L15# 68 | 結果 | परिणाम
L15# 69 | サイト | वेब साइट
L15# 70 | 全体 | सम्पूर्‍ण भाग
